classificacao,genero,cor_ou_raca,estados,mes_pesquisa,semana_do_mes,febre,tosse,dor_de_garganta,dificuldade_respirar,dor_no_peito,nariz_escorrendo_entupido,fadiga,perda_de_ofato_sabor,dores_musculares,diarreia
0-12 Criança,Mulher,Branca,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Preta,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Branca,Rondônia,7,1,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Parda,Rondônia,7,3,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Parda,Rondônia,7,3,1,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Branca,Rondônia,7,2,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Branca,Rondônia,7,3,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Preta,Rondônia,7,1,1,1,0,0,0,0,0,1,1,1
0-12 Criança,Homem,Preta,Rondônia,7,1,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Parda,Rondônia,7,3,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Homem,Branca,Rondônia,7,2,1,0,0,1,0,0,0,1,1,1
13-17 Adolescente,Mulher,Parda,Rondônia,7,2,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Preta,Rondônia,7,2,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Indígena,Rondônia,7,3,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Preta,Rondônia,7,1,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Parda,Rondônia,7,3,0,0,0,0,0,0,0,1,2,2
18-25 Jovem ,Homem,Amarela,Rondônia,7,1,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Branca,Rondônia,7,4,0,0,0,0,0,1,0,0,0,0
60+ Idoso,Homem,Preta,Rondônia,7,3,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Preta,Rondônia,7,3,0,0,0,0,0,0,0,1,1,1
26-59 Adulto,Mulher,Amarela,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Branca,Rondônia,7,3,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Preta,Rondônia,7,3,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Branca,Rondônia,7,3,1,0,0,0,0,1,0,0,0,0
60+ Idoso,Homem,Branca,Rondônia,7,4,0,0,0,0,0,0,0,0,1,1
0-12 Criança,Mulher,Preta,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Indígena,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Preta,Rondônia,7,3,1,1,1,1,1,1,1,1,1,1
18-25 Jovem ,Homem,Preta,Rondônia,7,1,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Preta,Rondônia,7,1,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Preta,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Preta,Rondônia,7,2,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Preta,Rondônia,7,1,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Amarela,Rondônia,7,3,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Preta,Rondônia,7,2,0,0,1,0,0,0,0,0,0,0
60+ Idoso,Homem,Preta,Rondônia,7,2,0,1,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Preta,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Homem,Preta,Rondônia,7,1,1,1,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Amarela,Rondônia,7,1,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Indígena,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Branca,Rondônia,7,2,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Preta,Rondônia,7,1,1,2,3,2,2,2,1,1,3,3
18-25 Jovem ,Mulher,Amarela,Rondônia,7,3,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Amarela,Rondônia,7,3,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Preta,Rondônia,7,2,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Branca,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Preta,Rondônia,7,2,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Homem,Preta,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Indígena,Rondônia,7,2,0,0,0,0,0,0,0,0,1,1
60+ Idoso,Mulher,Amarela,Rondônia,7,1,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Amarela,Rondônia,7,3,0,0,0,0,0,1,1,0,1,1
18-25 Jovem ,Homem,Amarela,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Amarela,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Amarela,Rondônia,7,2,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Preta,Rondônia,7,2,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Amarela,Rondônia,7,2,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Amarela,Rondônia,7,2,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Amarela,Rondônia,7,2,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Preta,Rondônia,7,3,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Preta,Rondônia,7,1,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Amarela,Rondônia,7,1,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Indígena,Rondônia,7,1,0,0,1,0,0,0,1,0,0,0
60+ Idoso,Homem,Amarela,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Amarela,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Amarela,Rondônia,7,3,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Indígena,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Indígena,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Amarela,Rondônia,7,1,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Amarela,Rondônia,7,3,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Homem,Amarela,Rondônia,7,3,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Indígena,Rondônia,7,2,0,0,0,0,0,0,0,0,1,1
0-12 Criança,Homem,Preta,Rondônia,7,3,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Indígena,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Amarela,Rondônia,7,2,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Amarela,Rondônia,7,2,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Amarela,Rondônia,7,1,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Parda,Acre,7,1,10,8,8,5,3,5,6,7,8,8
26-59 Adulto,Homem,Parda,Acre,7,1,10,7,6,5,3,8,7,3,10,10
0-12 Criança,Mulher,Parda,Acre,7,1,3,3,3,2,2,2,2,2,2,2
0-12 Criança,Homem,Branca,Acre,7,1,1,0,0,0,1,0,1,0,1,1
60+ Idoso,Homem,Preta,Acre,7,4,1,1,1,0,0,1,0,0,1,1
26-59 Adulto,Mulher,Parda,Acre,7,2,15,12,9,6,5,9,10,11,9,9
0-12 Criança,Mulher,Parda,Acre,7,2,3,1,1,0,0,0,0,0,0,0
26-59 Adulto,Homem,Parda,Acre,7,4,4,4,6,1,6,5,4,3,5,5
26-59 Adulto,Mulher,Preta,Acre,7,4,1,1,1,0,0,1,0,0,1,1
13-17 Adolescente,Homem,Parda,Acre,7,4,2,2,2,2,0,1,2,2,1,1
26-59 Adulto,Mulher,Parda,Acre,7,4,11,12,18,10,7,9,14,9,16,16
26-59 Adulto,Homem,Branca,Acre,7,2,2,2,2,1,1,2,1,0,0,0
26-59 Adulto,Homem,Branca,Acre,7,4,1,4,3,3,1,1,3,1,4,4
60+ Idoso,Mulher,Branca,Acre,7,4,1,3,2,1,1,2,1,2,2,2
18-25 Jovem ,Homem,Parda,Acre,7,4,1,1,1,1,1,1,1,0,1,1
26-59 Adulto,Mulher,Branca,Acre,7,4,2,1,0,0,1,5,2,0,2,2
26-59 Adulto,Homem,Parda,Acre,7,2,11,8,9,2,3,3,6,6,3,3
18-25 Jovem ,Homem,Parda,Acre,7,1,6,4,5,5,3,5,3,3,5,5
26-59 Adulto,Mulher,Branca,Acre,7,1,4,5,5,6,8,9,9,7,7,7
18-25 Jovem ,Homem,Parda,Acre,7,2,3,3,3,1,2,1,3,2,1,1
13-17 Adolescente,Homem,Parda,Acre,7,1,1,0,0,0,0,1,0,0,1,1
13-17 Adolescente,Mulher,Parda,Acre,7,2,1,1,1,0,0,0,0,1,0,0
60+ Idoso,Mulher,Preta,Acre,7,3,0,2,2,0,0,0,0,1,2,2
60+ Idoso,Homem,Branca,Acre,7,3,0,2,1,1,0,1,3,1,2,2
60+ Idoso,Homem,Parda,Acre,7,2,1,2,0,0,1,0,0,0,0,0
0-12 Criança,Homem,Branca,Acre,7,4,1,1,1,1,0,1,0,1,0,0
18-25 Jovem ,Mulher,Parda,Acre,7,4,1,1,2,1,2,3,3,1,1,1
60+ Idoso,Mulher,Parda,Acre,7,4,2,2,3,0,0,2,4,2,5,5
0-12 Criança,Mulher,Parda,Acre,7,4,1,1,1,1,1,1,1,0,1,1
0-12 Criança,Homem,Parda,Acre,7,4,0,1,1,0,0,1,0,0,0,0
13-17 Adolescente,Homem,Parda,Acre,7,2,2,1,0,0,0,2,2,1,0,0
26-59 Adulto,Mulher,Indígena,Acre,7,2,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Parda,Acre,7,2,2,1,1,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Parda,Acre,7,2,1,2,3,1,0,1,0,0,0,0
60+ Idoso,Homem,Parda,Acre,7,4,0,0,0,0,1,0,0,0,0,0
60+ Idoso,Mulher,Parda,Acre,7,3,1,1,0,2,3,1,2,1,3,3
26-59 Adulto,Mulher,Parda,Acre,7,3,13,13,19,3,7,11,15,9,9,9
60+ Idoso,Mulher,Parda,Acre,7,2,2,1,1,0,1,0,0,0,0,0
26-59 Adulto,Homem,Preta,Acre,7,1,4,3,2,2,1,2,3,3,3,3
13-17 Adolescente,Mulher,Parda,Acre,7,1,0,0,0,0,0,2,0,0,1,1
60+ Idoso,Homem,Parda,Acre,7,1,3,4,2,2,1,1,5,0,4,4
18-25 Jovem ,Homem,Parda,Acre,7,3,1,1,2,2,2,1,2,1,0,0
0-12 Criança,Mulher,Parda,Acre,7,3,8,5,6,2,3,4,2,1,2,2
13-17 Adolescente,Homem,Parda,Acre,7,3,1,1,2,1,0,1,0,0,0,0
0-12 Criança,Homem,Parda,Acre,7,3,2,1,1,0,0,0,0,1,0,0
18-25 Jovem ,Mulher,Parda,Acre,7,3,2,1,4,1,1,2,3,2,3,3
26-59 Adulto,Mulher,Branca,Acre,7,2,2,4,2,1,2,4,5,1,4,4
0-12 Criança,Homem,Branca,Acre,7,2,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Parda,Acre,7,3,5,4,7,1,2,3,3,1,4,4
13-17 Adolescente,Mulher,Parda,Acre,7,4,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Preta,Acre,7,3,2,2,3,3,2,1,3,3,3,3
18-25 Jovem ,Homem,Preta,Acre,7,3,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Preta,Acre,7,3,0,0,1,0,0,0,0,0,0,0
0-12 Criança,Homem,Preta,Acre,7,3,2,2,1,1,0,0,0,1,0,0
0-12 Criança,Homem,Parda,Acre,7,1,3,1,1,1,1,1,0,0,2,2
26-59 Adulto,Homem,Parda,Acre,7,3,13,10,11,3,4,8,5,3,6,6
60+ Idoso,Homem,Preta,Acre,7,3,0,0,0,0,0,0,0,0,1,1
13-17 Adolescente,Homem,Branca,Acre,7,1,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Branca,Acre,7,1,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Branca,Acre,7,4,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Branca,Acre,7,4,0,1,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Parda,Acre,7,1,1,0,1,1,0,1,0,2,1,1
60+ Idoso,Mulher,Branca,Acre,7,1,0,1,0,0,0,1,0,1,2,2
13-17 Adolescente,Homem,Branca,Acre,7,4,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Preta,Acre,7,2,0,2,1,1,0,0,0,0,1,1
18-25 Jovem ,Homem,Branca,Acre,7,4,1,2,0,2,1,2,1,2,1,1
26-59 Adulto,Homem,Branca,Acre,7,3,2,0,2,2,0,2,3,1,3,3
0-12 Criança,Homem,Branca,Acre,7,3,1,1,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Parda,Acre,7,1,6,4,4,3,2,2,3,4,6,6
0-12 Criança,Mulher,Branca,Acre,7,2,2,0,0,0,0,1,1,1,0,0
60+ Idoso,Homem,Preta,Acre,7,1,0,0,1,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Preta,Acre,7,1,2,3,4,2,2,2,3,3,3,3
26-59 Adulto,Homem,Preta,Acre,7,4,0,0,0,0,0,1,0,0,0,0
13-17 Adolescente,Mulher,Branca,Acre,7,3,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Branca,Acre,7,3,2,0,2,0,1,0,1,0,1,1
18-25 Jovem ,Mulher,Branca,Acre,7,3,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Branca,Acre,7,2,1,1,0,0,0,1,1,1,0,0
18-25 Jovem ,Mulher,Preta,Acre,7,4,1,2,2,0,0,1,0,0,0,0
60+ Idoso,Homem,Branca,Acre,7,4,0,3,2,0,1,0,2,1,0,0
60+ Idoso,Homem,Branca,Acre,7,2,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Branca,Acre,7,4,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Preta,Acre,7,3,2,1,1,0,1,1,1,0,1,1
18-25 Jovem ,Homem,Branca,Acre,7,3,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Preta,Acre,7,2,1,1,0,0,1,0,1,1,1,1
60+ Idoso,Homem,Parda,Acre,7,3,4,4,1,2,0,0,1,2,0,0
13-17 Adolescente,Mulher,Branca,Acre,7,2,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Branca,Acre,7,1,4,6,5,4,2,2,3,5,5,5
60+ Idoso,Mulher,Preta,Acre,7,2,0,0,0,0,0,1,0,0,0,0
60+ Idoso,Mulher,Preta,Acre,7,1,1,1,1,1,1,1,1,1,1,1
60+ Idoso,Mulher,Branca,Acre,7,3,2,1,1,2,1,1,2,2,2,2
60+ Idoso,Mulher,Branca,Acre,7,2,1,1,1,1,1,1,2,2,1,1
26-59 Adulto,Homem,Amarela,Acre,7,2,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Amarela,Acre,7,2,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Branca,Acre,7,3,0,1,0,0,0,1,0,0,0,0
13-17 Adolescente,Homem,Branca,Acre,7,3,0,1,0,0,0,1,0,1,0,0
18-25 Jovem ,Mulher,Preta,Acre,7,1,1,0,0,1,0,0,0,0,0,0
0-12 Criança,Mulher,Preta,Acre,7,1,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Homem,Branca,Acre,7,1,0,0,0,0,0,1,0,0,0,0
13-17 Adolescente,Homem,Preta,Acre,7,2,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Branca,Acre,7,1,1,1,2,1,1,2,1,1,1,1
26-59 Adulto,Mulher,Indígena,Acre,7,3,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Branca,Acre,7,1,2,2,1,1,1,2,1,2,2,2
60+ Idoso,Mulher,Preta,Acre,7,4,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Branca,Acre,7,2,0,0,0,0,0,0,0,0,1,1
26-59 Adulto,Mulher,Amarela,Acre,7,4,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Amarela,Acre,7,4,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Amarela,Acre,7,4,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Preta,Acre,7,4,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Preta,Acre,7,3,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Preta,Acre,7,3,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Amarela,Acre,7,3,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Preta,Acre,7,2,1,1,1,1,1,2,1,0,1,1
18-25 Jovem ,Mulher,Branca,Acre,7,1,1,1,1,1,1,1,1,1,1,1
18-25 Jovem ,Homem,Preta,Acre,7,1,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Preta,Acre,7,4,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Indígena,Acre,7,4,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Preta,Acre,7,2,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Preta,Acre,7,2,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Amarela,Acre,7,1,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Preta,Acre,7,1,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Amarela,Acre,7,4,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Homem,Preta,Acre,7,2,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Branca,Acre,7,2,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Preta,Acre,7,4,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Preta,Acre,7,2,1,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Preta,Acre,7,1,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Preta,Acre,7,1,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Preta,Acre,7,4,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Indígena,Acre,7,3,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Preta,Acre,7,3,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Indígena,Acre,7,2,0,0,0,0,0,0,1,0,1,1
18-25 Jovem ,Homem,Amarela,Acre,7,4,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Indígena,Acre,7,4,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Amarela,Acre,7,3,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Amarela,Acre,7,1,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Amarela,Acre,7,2,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Amarela,Acre,7,2,0,0,0,0,0,0,0,0,0,0
