classificacao,genero,estados,mes_pesquisa,semana_do_mes,foi_estabelecimento_saude,nao_foi_estabelecimento_saude,ignorou_os_sintomas,hospital_sus,nao_era_um_hospital_sus,nao_respondeu,atenidento_pivado_ou_militar,nao_buscou_atendimento_privado,nao_respondeu_atendiento_privado,fez_exame_SWAB,nao_fez_exame_SWAB,resultado_positivo,resultado_negativo,resultado_inconclusivo,ainda_sem_resultado,tem_doencas_respiratorias,nao_tem_doencas_respiratorias,ignorou_doencas_respiratorias
60+ Idoso,Homem,Acre,7,3,4,8,0,3,1,0,0,4,0,2,9,0,1,1,0,5,102,0
60+ Idoso,Homem,Acre,7,2,0,3,0,0,0,0,0,0,0,2,5,1,1,0,0,4,75,1
0-12 Criança,Homem,Acre,7,4,1,2,0,0,1,0,0,1,0,0,1,0,0,0,0,5,157,1
18-25 Jovem ,Mulher,Acre,7,4,3,6,0,0,3,0,0,3,0,1,2,0,1,0,0,2,117,0
0-12 Criança,Mulher,Acre,7,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,4,137,0
13-17 Adolescente,Homem,Acre,7,2,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,1,68,0
0-12 Criança,Homem,Acre,7,2,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,4,149,0
18-25 Jovem ,Mulher,Acre,7,2,2,7,0,0,2,0,0,2,0,3,3,2,0,0,1,5,104,0
26-59 Adulto,Mulher,Acre,7,3,13,30,0,2,11,0,0,13,0,9,33,5,3,1,0,16,401,1
60+ Idoso,Mulher,Acre,7,2,2,7,0,1,1,0,0,2,0,2,5,2,0,0,0,9,87,1
13-17 Adolescente,Mulher,Acre,7,1,1,5,0,0,1,0,0,1,0,2,3,2,0,0,0,3,76,0
60+ Idoso,Homem,Acre,7,1,2,7,0,0,2,0,0,2,0,4,3,3,0,0,1,6,80,0
18-25 Jovem ,Homem,Acre,7,3,0,6,0,0,0,0,0,0,0,3,5,2,1,0,0,8,114,0
0-12 Criança,Mulher,Acre,7,3,4,6,0,0,4,0,1,3,0,1,1,0,1,0,0,2,165,0
13-17 Adolescente,Homem,Acre,7,3,2,2,0,0,2,0,0,2,0,0,3,0,0,0,0,2,70,0
0-12 Criança,Homem,Acre,7,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,182,0
18-25 Jovem ,Mulher,Acre,7,3,1,4,0,0,1,0,0,1,0,1,6,0,0,1,0,4,135,0
13-17 Adolescente,Mulher,Acre,7,3,0,10,0,0,0,0,0,0,0,2,0,0,2,0,0,3,81,0
13-17 Adolescente,Mulher,Acre,7,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,64,0
26-59 Adulto,Homem,Acre,7,3,7,24,0,3,4,0,0,7,0,6,17,5,1,0,0,7,350,1
18-25 Jovem ,Mulher,Acre,7,1,2,4,0,0,2,0,0,2,0,2,1,1,1,0,0,5,98,0
60+ Idoso,Mulher,Acre,7,1,3,8,0,2,1,0,0,3,0,3,6,0,2,0,1,5,97,0
26-59 Adulto,Mulher,Amazonas,7,2,8,24,0,3,5,0,1,7,0,15,37,2,13,0,0,14,541,2
26-59 Adulto,Mulher,Amazonas,7,1,16,26,0,3,13,0,0,16,0,10,45,3,7,0,0,23,480,5
13-17 Adolescente,Homem,Amazonas,7,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,108,0
18-25 Jovem ,Homem,Amazonas,7,1,2,7,0,0,2,0,0,2,0,3,6,0,2,0,1,8,155,1
18-25 Jovem ,Mulher,Amazonas,7,1,5,5,0,2,3,0,0,5,0,2,7,0,1,0,1,5,136,2
0-12 Criança,Homem,Amazonas,7,1,2,6,0,0,2,0,1,1,0,0,3,0,0,0,0,8,216,0
26-59 Adulto,Homem,Amazonas,7,1,6,24,0,0,6,0,0,6,0,14,46,0,9,0,5,20,481,8
0-12 Criança,Mulher,Amazonas,7,1,3,8,0,0,3,0,0,3,0,0,3,0,0,0,0,7,227,0
26-59 Adulto,Homem,Amazonas,7,3,6,23,0,3,3,0,0,6,0,17,35,5,11,0,1,12,505,5
18-25 Jovem ,Homem,Amazonas,7,3,1,11,0,0,1,0,0,1,0,6,9,0,6,0,0,8,168,2
26-59 Adulto,Mulher,Amazonas,7,3,14,26,0,2,12,0,0,14,0,13,61,5,7,0,1,8,560,8
13-17 Adolescente,Homem,Amazonas,7,3,0,3,0,0,0,0,0,0,0,2,3,0,2,0,0,2,121,0
13-17 Adolescente,Mulher,Amazonas,7,1,2,7,0,0,2,0,0,2,0,1,4,0,1,0,0,4,114,1
18-25 Jovem ,Mulher,Amazonas,7,3,1,7,0,1,0,0,0,1,0,1,5,0,1,0,0,3,165,1
60+ Idoso,Mulher,Amazonas,7,4,4,9,0,2,2,0,0,4,0,1,8,1,0,0,0,7,149,3
26-59 Adulto,Homem,Amazonas,7,4,4,21,0,0,4,0,0,4,0,11,39,4,7,0,0,6,490,6
60+ Idoso,Homem,Amazonas,7,3,2,6,0,0,2,0,0,2,0,3,8,1,1,0,1,3,110,1
26-59 Adulto,Homem,Amazonas,7,2,7,33,0,2,5,0,0,7,0,17,42,6,11,0,0,8,501,2
0-12 Criança,Homem,Amazonas,7,2,1,9,0,1,0,0,0,1,0,2,4,0,2,0,0,7,247,2
60+ Idoso,Mulher,Amazonas,7,2,1,8,0,0,1,0,0,1,0,1,13,1,0,0,0,2,148,3
60+ Idoso,Homem,Amazonas,7,2,2,8,0,0,2,0,0,2,0,2,8,1,1,0,0,3,142,2
18-25 Jovem ,Homem,Amazonas,7,2,1,9,0,0,1,0,0,1,0,4,8,1,3,0,0,6,163,1
60+ Idoso,Mulher,Amazonas,7,3,1,12,0,1,0,0,0,1,0,3,6,1,2,0,0,8,130,0
0-12 Criança,Mulher,Amazonas,7,3,1,6,0,0,1,0,0,1,0,3,9,0,1,0,2,4,246,2
0-12 Criança,Homem,Amazonas,7,3,2,4,0,2,0,0,0,2,0,2,6,0,0,0,2,4,251,2
60+ Idoso,Mulher,Amazonas,7,1,5,10,0,0,5,0,0,5,0,3,15,1,1,0,1,8,144,2
60+ Idoso,Homem,Amazonas,7,1,4,9,0,2,2,0,0,4,0,0,10,0,0,0,0,4,122,0
60+ Idoso,Homem,Amazonas,7,4,0,10,0,0,0,0,0,0,0,2,6,2,0,0,0,5,115,4
26-59 Adulto,Mulher,Amazonas,7,4,7,26,0,2,5,0,1,6,0,16,41,7,9,0,0,17,529,6
0-12 Criança,Homem,Amazonas,7,4,1,3,0,0,1,0,0,1,0,0,3,0,0,0,0,6,222,1
0-12 Criança,Mulher,Amazonas,7,4,3,3,0,0,3,0,0,3,0,0,3,0,0,0,0,5,233,3
13-17 Adolescente,Mulher,Amazonas,7,4,2,2,0,1,1,0,1,1,0,0,3,0,0,0,0,3,120,0
18-25 Jovem ,Mulher,Amazonas,7,2,1,6,0,0,1,0,0,1,0,4,4,1,3,0,0,4,154,0
13-17 Adolescente,Mulher,Amazonas,7,3,0,2,0,0,0,0,0,0,0,1,6,0,1,0,0,3,121,0
18-25 Jovem ,Mulher,Amazonas,7,4,1,8,0,0,1,0,1,0,0,2,9,0,2,0,0,6,174,2
0-12 Criança,Mulher,Amazonas,7,2,1,5,0,0,1,0,0,1,0,0,6,0,0,0,0,7,221,1
13-17 Adolescente,Homem,Amazonas,7,4,1,2,0,0,1,0,0,1,0,0,2,0,0,0,0,1,124,2
18-25 Jovem ,Homem,Amazonas,7,4,0,4,0,0,0,0,0,0,0,2,7,1,1,0,0,5,183,1
13-17 Adolescente,Homem,Amazonas,7,2,0,4,0,0,0,0,0,0,0,3,4,1,2,0,0,7,129,0
13-17 Adolescente,Mulher,Amazonas,7,2,1,4,0,0,1,0,1,0,0,1,2,0,1,0,0,5,113,1
26-59 Adulto,Homem,Roraima,7,2,12,16,0,5,7,0,0,12,0,8,23,7,1,0,0,5,292,18
18-25 Jovem ,Mulher,Roraima,7,2,3,3,0,1,2,0,0,3,0,2,8,1,1,0,0,1,108,5
0-12 Criança,Mulher,Roraima,7,2,1,0,0,0,1,0,0,1,0,2,4,1,0,0,1,1,130,9
60+ Idoso,Mulher,Roraima,7,4,1,3,0,0,1,0,0,1,0,0,5,0,0,0,0,1,52,6
60+ Idoso,Homem,Roraima,7,4,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,1,50,1
26-59 Adulto,Mulher,Roraima,7,1,15,24,0,5,10,0,0,15,0,11,36,5,5,0,1,10,279,18
26-59 Adulto,Homem,Roraima,7,3,9,8,0,1,8,0,0,9,0,4,26,3,1,0,0,5,263,18
26-59 Adulto,Mulher,Roraima,7,3,10,16,0,0,10,0,1,9,0,5,35,3,2,0,0,14,291,18
0-12 Criança,Homem,Roraima,7,3,0,5,0,0,0,0,0,0,0,1,4,1,0,0,0,4,143,9
26-59 Adulto,Mulher,Roraima,7,4,7,15,0,2,5,0,0,7,0,9,40,4,4,0,1,15,297,12
0-12 Criança,Mulher,Roraima,7,4,2,1,0,1,1,0,0,2,0,1,2,0,1,0,0,3,120,9
0-12 Criança,Homem,Roraima,7,4,0,1,0,0,0,0,0,0,0,2,3,0,0,0,2,4,139,12
60+ Idoso,Mulher,Roraima,7,2,2,1,0,1,1,0,0,2,0,3,6,3,0,0,0,2,65,3
26-59 Adulto,Mulher,Roraima,7,2,14,17,0,3,11,0,0,14,0,9,37,5,3,0,1,9,278,18
60+ Idoso,Homem,Roraima,7,3,0,1,0,0,0,0,0,0,0,2,5,1,1,0,0,4,64,3
60+ Idoso,Mulher,Roraima,7,3,2,3,0,2,0,0,0,2,0,0,7,0,0,0,0,0,68,2
18-25 Jovem ,Mulher,Roraima,7,3,3,1,0,1,2,0,0,3,0,0,6,0,0,0,0,1,70,3
18-25 Jovem ,Homem,Roraima,7,3,3,2,0,0,2,1,0,3,0,3,4,3,0,0,0,4,84,9
13-17 Adolescente,Homem,Roraima,7,3,2,2,0,0,2,0,0,2,0,1,2,1,0,0,0,2,64,5
18-25 Jovem ,Homem,Roraima,7,4,2,2,0,1,1,0,0,2,0,2,6,1,0,0,1,0,85,7
60+ Idoso,Mulher,Roraima,7,1,1,6,0,1,0,0,0,1,0,1,5,0,1,0,0,2,57,4
26-59 Adulto,Homem,Roraima,7,1,10,12,0,3,7,0,0,10,0,6,21,3,3,0,0,7,245,15
18-25 Jovem ,Mulher,Roraima,7,1,6,5,0,1,5,0,0,6,0,2,8,2,0,0,0,2,86,6
0-12 Criança,Homem,Roraima,7,1,1,1,0,1,0,0,0,1,0,3,3,2,0,0,1,4,125,9
26-59 Adulto,Homem,Roraima,7,4,4,9,0,1,3,0,0,4,0,6,30,2,3,0,1,7,248,15
13-17 Adolescente,Mulher,Roraima,7,3,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,35,6
0-12 Criança,Mulher,Roraima,7,3,1,2,0,0,1,0,0,1,0,0,4,0,0,0,0,2,115,13
13-17 Adolescente,Mulher,Roraima,7,1,1,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,68,2
18-25 Jovem ,Homem,Roraima,7,1,5,3,0,1,4,0,0,5,0,1,5,0,0,0,1,1,85,8
60+ Idoso,Homem,Roraima,7,2,2,1,0,2,0,0,0,2,0,1,7,0,1,0,0,3,67,4
0-12 Criança,Homem,Roraima,7,2,5,1,0,4,1,0,0,5,0,1,3,1,0,0,0,3,145,6
60+ Idoso,Homem,Roraima,7,1,4,4,0,1,3,0,0,4,0,1,8,1,0,0,0,1,53,3
18-25 Jovem ,Homem,Roraima,7,2,0,2,0,0,0,0,0,0,0,2,10,1,1,0,0,8,93,5
0-12 Criança,Mulher,Roraima,7,1,1,7,0,1,0,0,0,1,0,0,5,0,0,0,0,4,113,6
13-17 Adolescente,Mulher,Roraima,7,2,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,65,5
13-17 Adolescente,Homem,Roraima,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,3
13-17 Adolescente,Homem,Roraima,7,2,1,3,0,0,1,0,0,1,0,0,5,0,0,0,0,2,64,2
13-17 Adolescente,Mulher,Roraima,7,4,1,2,0,0,1,0,0,1,0,0,2,0,0,0,0,3,66,1
13-17 Adolescente,Homem,Roraima,7,4,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,3,56,2
18-25 Jovem ,Mulher,Roraima,7,4,2,3,0,0,2,0,0,2,0,2,7,1,0,0,1,4,88,10
60+ Idoso,Mulher,Pará,7,4,2,12,0,1,1,0,0,2,0,2,15,1,1,0,0,15,193,2
60+ Idoso,Homem,Pará,7,4,4,12,0,0,4,0,0,4,0,4,14,2,2,0,0,12,185,0
26-59 Adulto,Mulher,Pará,7,1,19,35,0,4,14,1,0,18,1,19,47,4,12,0,3,29,589,4
60+ Idoso,Mulher,Pará,7,1,5,10,0,2,3,0,0,5,0,3,11,1,2,0,0,8,152,1
26-59 Adulto,Homem,Pará,7,3,11,27,0,1,10,0,0,11,0,11,60,3,8,0,0,19,621,4
26-59 Adulto,Mulher,Pará,7,3,19,26,0,3,16,0,2,17,0,9,66,2,7,0,0,37,693,3
13-17 Adolescente,Homem,Pará,7,3,1,3,0,0,1,0,0,1,0,0,3,0,0,0,0,8,133,0
26-59 Adulto,Homem,Pará,7,1,7,19,0,3,4,0,0,7,0,13,44,2,10,0,1,21,551,5
13-17 Adolescente,Homem,Pará,7,1,1,3,0,0,1,0,0,1,0,3,2,1,2,0,0,12,112,0
18-25 Jovem ,Homem,Pará,7,3,3,6,0,0,3,0,0,3,0,1,16,0,1,0,0,6,192,0
26-59 Adulto,Mulher,Pará,7,4,13,34,0,2,11,0,1,12,0,19,65,8,8,1,2,37,645,3
26-59 Adulto,Homem,Pará,7,4,14,25,0,5,9,0,1,13,0,20,60,8,12,0,0,30,580,3
18-25 Jovem ,Mulher,Pará,7,4,4,9,0,2,2,0,0,4,0,6,8,3,3,0,0,9,166,0
0-12 Criança,Homem,Pará,7,4,3,6,0,2,1,0,0,3,0,0,7,0,0,0,0,18,252,0
60+ Idoso,Mulher,Pará,7,2,5,10,0,0,5,0,0,5,0,4,10,1,3,0,0,7,173,4
60+ Idoso,Homem,Pará,7,1,2,8,0,0,2,0,0,2,0,4,9,2,2,0,0,7,131,0
18-25 Jovem ,Mulher,Pará,7,2,2,10,0,0,2,0,0,2,0,1,8,0,1,0,0,12,185,1
26-59 Adulto,Homem,Pará,7,2,16,34,0,2,14,0,0,16,0,16,51,7,8,0,1,26,616,7
13-17 Adolescente,Mulher,Pará,7,1,1,4,0,0,1,0,0,1,0,2,2,0,2,0,0,9,121,2
0-12 Criança,Homem,Pará,7,1,1,6,0,0,1,0,0,1,0,0,2,0,0,0,0,14,232,5
13-17 Adolescente,Mulher,Pará,7,4,2,5,0,0,2,0,0,2,0,0,9,0,0,0,0,9,129,0
60+ Idoso,Homem,Pará,7,2,0,7,0,0,0,0,0,0,0,3,11,1,2,0,0,4,155,3
26-59 Adulto,Mulher,Pará,7,2,20,36,0,4,16,0,0,20,0,12,51,6,5,0,1,32,668,5
18-25 Jovem ,Homem,Pará,7,2,1,8,0,0,1,0,0,1,0,1,4,0,1,0,0,7,161,2
60+ Idoso,Homem,Pará,7,3,2,5,0,1,1,0,0,2,0,1,11,0,1,0,0,10,156,0
60+ Idoso,Mulher,Pará,7,3,4,5,0,1,3,0,0,4,0,0,14,0,0,0,0,12,179,2
13-17 Adolescente,Homem,Pará,7,2,1,5,0,0,1,0,0,1,0,3,4,2,1,0,0,7,135,3
18-25 Jovem ,Mulher,Pará,7,3,3,7,0,0,3,0,0,3,0,0,9,0,0,0,0,12,167,1
0-12 Criança,Mulher,Pará,7,2,1,8,0,0,1,0,0,1,0,1,2,1,0,0,0,6,245,0
0-12 Criança,Homem,Pará,7,3,2,4,0,0,2,0,0,2,0,1,4,0,1,0,0,11,281,2
18-25 Jovem ,Homem,Pará,7,1,7,7,0,0,7,0,0,7,0,3,15,0,3,0,0,9,178,1
18-25 Jovem ,Mulher,Pará,7,1,2,11,0,1,1,0,0,2,0,3,8,0,3,0,0,8,181,1
0-12 Criança,Homem,Pará,7,2,2,7,0,0,2,0,0,2,0,2,8,0,2,0,0,14,283,2
18-25 Jovem ,Homem,Pará,7,4,1,6,0,0,1,0,0,1,0,5,10,0,5,0,0,11,168,0
13-17 Adolescente,Homem,Pará,7,4,2,10,0,2,0,0,0,2,0,0,4,0,0,0,0,10,146,1
0-12 Criança,Mulher,Pará,7,4,4,16,0,0,4,0,0,4,0,3,6,0,3,0,0,14,280,0
0-12 Criança,Mulher,Pará,7,1,4,8,0,1,3,0,0,4,0,0,4,0,0,0,0,10,247,0
0-12 Criança,Mulher,Pará,7,3,2,8,0,0,2,0,0,2,0,0,4,0,0,0,0,6,247,1
13-17 Adolescente,Mulher,Pará,7,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,6,112,0
13-17 Adolescente,Mulher,Pará,7,2,1,2,0,0,1,0,0,1,0,1,5,1,0,0,0,6,130,0
26-59 Adulto,Homem,Amapá,7,4,3,9,0,0,3,0,0,3,0,7,17,2,5,0,0,3,155,1
26-59 Adulto,Mulher,Amapá,7,4,12,15,0,0,12,0,0,12,0,11,20,3,5,0,3,5,180,2
18-25 Jovem ,Mulher,Amapá,7,4,2,4,0,0,2,0,0,2,0,1,5,0,1,0,0,0,56,0
13-17 Adolescente,Homem,Amapá,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,0
60+ Idoso,Mulher,Amapá,7,4,2,4,0,0,2,0,0,2,0,1,3,0,1,0,0,0,39,0
60+ Idoso,Homem,Amapá,7,4,1,2,0,0,1,0,0,1,0,0,2,0,0,0,0,2,28,1
0-12 Criança,Homem,Amapá,7,4,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,2,87,0
18-25 Jovem ,Homem,Amapá,7,4,1,2,0,0,1,0,0,1,0,3,1,1,2,0,0,2,56,0
60+ Idoso,Mulher,Amapá,7,1,2,5,0,0,2,0,0,2,0,0,1,0,0,0,0,2,34,0
26-59 Adulto,Homem,Amapá,7,1,6,16,0,0,6,0,0,6,0,7,25,4,2,0,1,7,172,3
60+ Idoso,Homem,Amapá,7,1,1,2,0,0,1,0,0,1,0,1,5,0,1,0,0,1,31,1
13-17 Adolescente,Mulher,Amapá,7,4,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,2,42,0
60+ Idoso,Mulher,Amapá,7,3,1,4,0,0,1,0,0,1,0,0,5,0,0,0,0,5,41,2
13-17 Adolescente,Homem,Amapá,7,3,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,4,38,0
13-17 Adolescente,Mulher,Amapá,7,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,34,0
13-17 Adolescente,Homem,Amapá,7,1,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,4,36,1
18-25 Jovem ,Homem,Amapá,7,2,2,8,0,0,2,0,0,2,0,1,4,1,0,0,0,5,68,0
26-59 Adulto,Mulher,Amapá,7,1,10,16,0,0,10,0,1,9,0,8,26,6,2,0,0,15,169,3
26-59 Adulto,Homem,Amapá,7,3,5,7,0,0,5,0,0,5,0,5,18,4,1,0,0,2,137,4
26-59 Adulto,Mulher,Amapá,7,3,7,10,0,0,7,0,0,7,0,7,18,4,3,0,0,17,149,6
60+ Idoso,Homem,Amapá,7,3,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,30,3
26-59 Adulto,Homem,Amapá,7,2,3,8,0,0,3,0,0,3,0,1,15,1,0,0,0,7,132,3
26-59 Adulto,Mulher,Amapá,7,2,5,17,0,1,4,0,0,5,0,10,25,6,2,0,2,7,170,0
60+ Idoso,Mulher,Amapá,7,2,1,2,0,0,1,0,0,1,0,2,0,0,2,0,0,3,36,0
18-25 Jovem ,Mulher,Amapá,7,3,1,7,0,0,1,0,0,1,0,1,4,0,1,0,0,2,65,1
13-17 Adolescente,Homem,Amapá,7,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,35,0
13-17 Adolescente,Mulher,Amapá,7,2,2,1,0,0,2,0,0,2,0,2,3,0,0,0,2,3,34,0
18-25 Jovem ,Homem,Amapá,7,1,3,1,0,0,3,0,0,3,0,1,1,0,0,0,1,2,59,0
0-12 Criança,Mulher,Amapá,7,2,0,3,0,0,0,0,0,0,0,1,3,1,0,0,0,1,65,0
13-17 Adolescente,Mulher,Amapá,7,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,28,1
